COURSECODE,COURSETITLE,DELIVERY,CLASSNUM,STATUS,DURATION,STUMAX,PRICE,CATEGORY,SUBCATEGORY
CNW42,IBM Connections 4.0 - Social Software for Business,CLASSROOM,M02X,Available           ,2,10,1400,Lotus,IBM Lotus Connections
RS727,Configuring Projects in IBM Rational Team Concert V4.0,CLASSROOM,MZ22,Available           ,3,8,2100,Rational Software,Change configuration &amp; release management
RS727,Configuring Projects in IBM Rational Team Concert V4.0,CLASSROOM,MZ21,Available           ,3,8,2100,Rational Software,Change configuration &amp; release management
TP380,IBM SmartCloud Cntrl Desk 7.5 IT Asset Mgnt Fund,CLASSROOM,MZ24,Available           ,3,8,2400,Tivoli Service Delivery and Process Automation,Provisioning Manager
WPL54,Developing Multichannel Applications with IBM Web Experience Factory 8.0,CLASSROOM,M018,Available           ,3,10,2100,WebSphere Portal,IBM Web Experience Factory
1SM00,Introduction to Cloud Computing Architecture,CLASSROOM,M283,Available           ,2,8,1950,Cloud Computing,Cast Iron Systems
6T224,Programming Essentials for IBM WebSphere Commerce V7 Customization,CLASSROOM,M325,Available           ,5,8,3875,WebSphere Commerce,WebSphere Commerce Development and Customization
6T611,IBM Sterling B2B Integrator Fundamentals,CLASSROOM,M32W,Available           ,5,8,3750,B2B Integration,IBM Sterling B2B Integrator
9T318,IBM Unica Campaign 8.5 Administration,CLASSROOM,M3U8,Available           ,2,8,1500,Cross Channel Campaign Management,Unica Campaign
AN100,UNIX / AIX Basics,CLASSROOM,MZ25,Available           ,4,8,2825,"IBM System p, AIX, and UNIX",AIX System Administration
AN100,UNIX / AIX Basics,CLASSROOM,MZ26,Available           ,4,8,2825,"IBM System p, AIX, and UNIX",AIX System Administration
AN120,Power Systems for AIX II: AIX Implementation and Administration,CLASSROOM,M312,Available           ,5,8,3775,"IBM System p, AIX, and UNIX",AIX System Administration
AN150,Power Systems for AIX III: Advanced Administration and Problem Determination,CLASSROOM,M27P,Available           ,5,8,3875,"IBM System p, AIX, and UNIX",AIX System Administration
AN220,AIX Network Installation Management (NIM): Concepts and Configuration,CLASSROOM,M28T,Available           ,2,8,1425,"IBM System p, AIX, and UNIX",AIX Networking
AN301,Power Systems for AIX - Virtualization I: Implementing Virtualization,CLASSROOM,MY79,Available           ,5,8,3975,"IBM System p, AIX, and UNIX",AIX System Administration
AN310,Power Systems for AIX - Virtualization II: Advanced PowerVM and Performance,CLASSROOM,M31R,Available           ,4.5,8,4095,"IBM System p, AIX, and UNIX",AIX System Administration
AN610,"PowerHA 7 Planning, Implementing, Customizing and Administration",CLASSROOM,MZ28,Available           ,5,8,3975,"IBM System p, AIX, and UNIX",AIX High Availability
AN610,"PowerHA 7 Planning, Implementing, Customizing and Administration",CLASSROOM,MZ27,Available           ,5,8,3975,"IBM System p, AIX, and UNIX",AIX High Availability
B5152,IBM Cognos Framework Manager: Design Metadata Models (V10.1),CLASSROOM,M561,Closed              ,5,16,3500,Cognos,BI - Cognos BI (version 10.1)
B5155,IBM Cognos BI Administration (V10.1),CLASSROOM,M565,Closed              ,3,16,2100,Cognos,BI - Cognos BI (version 10.1)
B5157,IBM Cognos Metric Studio: Design Scorecards (V10.1/10.2),CLASSROOM,M3V7,Available           ,3,8,2100,Cognos,BI - Cognos BI (version 10.1)
B5160,IBM Cognos Report Studio: Author Professional Reports (V10.1),CLASSROOM,M569,Closed              ,5,16,3500,Cognos,BI - Cognos BI (version 10.1)
